id,name,organization,contact,description,status,website,category,timeline,color
SloanFoundation,Sloan Foundation,Sloan Foundation,,Program: Technology; Interest: Open source,0.5 Called or emailed,,Funder,Established/Long-running,teal
GatesFoundation,Gates Foundation,Gates Foundation,,Funder interested in environmental data initiatives,0.On our radar,,Funder,Established/Long-running,teal
HewlettFoundation,Hewlett Foundation,Hewlett Foundation,,Funder interested in environmental data initiatives,0.On our radar,,Funder,Established/Long-running,teal
OpenDataPolicyLab,Open Data Policy Lab,Open Data Policy Lab,,Interest: Open Data,0.On our radar,,Funder,Established/Long-running,teal
ResourcesLegacyFund,Resources Legacy Fund,Resources Legacy Fund,,"Interest: Matthew Armsby: ""I’m interested to learn more about PEDP. While my organization Resources Legacy Fun",0.On our radar,,Funder,Established/Long-running,teal
Googleorg,Google.org,Google.org,,Program: technology / data; Interest: EJ / wildfire / wetlands,1. In conversation,,Funder,Established/Long-running,teal
NavigationFund,Navigation Fund,Navigation Fund,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
PiscesFoundation,Pisces Foundation,Pisces Foundation,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
QCF,QCF,QCF,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
RennaissanceFoundati,Rennaissance Foundation,Rennaissance Foundation,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
Aqualateral,Aqualateral,Aqualateral,,Program: data & advocacy; Interest: climate and environmental justice and tool,2. Proposal submitted,,Funder,Established/Long-running,teal
FunderCollaborativet,Funder Collaborative (through Rockefeller Brothers),Funder Collaborative (through Rockefeller Brothers),,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
GenerationFoundation,Generation Foundation,Generation Foundation,,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
JMKaplanFund,J.M. Kaplan Fund,J.M. Kaplan Fund,,"Program: The 2025 J.M.K. Innovation Prize; Interest: ""bold problem-solvers leading transformative, early-stage projects in the fields of heritage conserv",2. Proposal submitted,,Funder,Established/Long-running,teal
LeverforChange,Lever for Change,Lever for Change,,Funder interested in environmental data initiatives,2. Proposal submitted,,Funder,Established/Long-running,teal
PortfoliotoProtectSc,Portfolio to Protect Science,Portfolio to Protect Science,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
WaverlyStreetFoundat,Waverly Street Foundation,Waverly Street Foundation,,Program: National Urgency; Interest: supporting EJ orgs & litigation; advocacy around data loss/importance & fed govt role,2. Proposal submitted,,Funder,Established/Long-running,teal
McGovernFoundation,McGovern Foundation,McGovern Foundation,,Funder interested in environmental data initiatives,4. Approved,,Funder,Established/Long-running,teal
thHourProjectSchmidt,11th Hour Project (Schmidt Family),11th Hour Project (Schmidt Family),,"Interest: EJ, future of enviromental data infrastructure ",4. Approved,,Funder,Established/Long-running,teal
SustainableCitiesFun,Sustainable Cities Fund (Bloomberg),Sustainable Cities Fund (Bloomberg),,Program: Environment; Interest: Data archiving and website,4. Approved,,Funder,Established/Long-running,teal
DorisDukeCharitableF,Doris Duke Charitable Foundation,Doris Duke Charitable Foundation,,"Interest: Rapid response, tool development, advocacy, visioning",4. Approved,,Funder,Established/Long-running,teal
HillspireSchmidtFami,Hillspire (Schmidt Family),Hillspire (Schmidt Family),,"Program: Science Ventures; Interest: data rescuing, preservation, and the future of federal data",4. Approved,,Funder,Established/Long-running,teal
